Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households
261,Kenai Peninsula,Alaska,31256,61793,75689,56163,21720
262,Powhatan,Virginia,31252,76548,87045,28108,9544
263,Piatt,Illinois,31190,63027,73890,16620,6546
264,Renville,North Dakota,31178,60847,77143,2512,1041
265,Chatham,North Carolina,31175,57091,66875,64886,26017
266,Grundy,Iowa,31164,56827,70837,12416,5073
267,Glasscock,Texas,31135,69107,98409,1176,409
,,Colorado,31109,58433,72687,5119329,1977591
268,Haines,Alaska,31096,52866,68207,2546,1245
269,Washington County,Oregon,31078,64180,76711,539608,201771
270,Teller,Colorado,31075,59040,73379,23276,9434
271,Williamson,Texas,31070,71803,82568,441445,154948
272,McLean,North Dakota,30992,53565,67636,9163,4021
273,Butler,Pennsylvania,30957,58230,74043,184535,73213
274,Columbia,Georgia,30949,69306,77373,128213,43975
275,Converse,Wyoming,30941,63918,75231,13937,5746
276,Island,Washington,30941,58455,69775,78806,33096
277,Stanley,South Dakota,30933,54620,61083,2966,1273
278,Windsor,Vermont,30932,52460,70467,56416,25024
279,Woodford,Illinois,30926,66639,78590,38903,14362
280,Galveston,Texas,30926,61877,76204,296669,110032
281,Audubon,Iowa,30919,48313,61845,6002,2684
,,Minnesota,30913,59836,74683,5347740,2107232
282,Isle of Wight,Virginia,30903,63942,77524,35373,13560
283,Fluvanna,Virginia,30881,68288,79101,25860,9462
,,Washington,30742,59478,72168,6819579,2629126
284,Larimer,Colorado,30740,58626,76194,305798,121423
285,Grafton,New Hampshire,30738,54912,71158,89166,35111
286,Lancaster,Virginia,30737,49248,66189,11303,5182
287,Medina,Ohio,30707,65951,77729,173252,65499
288,Parker,Texas,30692,64515,78626,118478,42322
289,San Diego,California,30668,62962,73495,3138265,1076483
290,Door,Wisconsin,30657,50438,63361,27826,13459
291,Anoka,Minnesota,30647,70380,81798,334027,122625
292,Camden,New Jersey,30592,61683,77369,513512,187941
293,Slope,North Dakota,30586,61667,74167,738,296
294,Orange,New York,30583,70458,85100,373902,125317
295,Indian River,Florida,30532,44772,56151,139356,58038
296,Middlesex,Virginia,30531,53309,64313,10851,4400
297,Dare,North Carolina,30529,55481,64404,34289,14624
298,Cass,North Dakota,30529,52590,74024,154080,65816
299,Belknap,New Hampshire,30518,58654,67570,60216,25049
300,Sweetwater,Wyoming,30517,71525,81595,44437,16682
301,Ocean,New Jersey,30477,61136,76822,578902,221774
302,Multnomah,Oregon,30475,52511,65897,747641,305939
,,Rhode Island,30469,56361,72717,1051695,410058
303,McLean,Illinois,30460,62089,83812,171240,64016
304,Polk,Iowa,30442,59018,73043,438307,173164
305,Ulster,New York,30442,58590,72632,182086,69862
306,Hodgeman,Kansas,30440,52375,67000,1946,821
307,Nelson,North Dakota,30432,49839,64792,3101,1474
308,Jefferson,Montana,30397,60863,76469,11434,4527
309,Will,Illinois,30377,76147,86747,679688,222652
310,St. Tammany,Louisiana,30363,60799,74834,236832,87518
311,Honolulu,Hawaii,30361,72764,85440,964678,309803
312,Santa Barbara,California,30352,62779,72602,427288,141720
313,Warren,New York,30351,55904,66622,65584,28081
314,Hughes,South Dakota,30284,59338,83474,17238,6992
315,Ness,Kansas,30223,48800,61940,3095,1340
90%,,,30220,,,,
316,Sully,South Dakota,30218,54524,69345,1420,606
317,Sarpy,Nebraska,30189,69965,80985,162728,59606
318,Cook,Illinois,30183,54548,66187,5212372,1933335
319,Charleston,South Carolina,30158,50792,65394,358736,143717
320,La Plata,Colorado,30151,58080,67732,52039,20947
321,Chambers,Texas,30140,72489,82601,35570,12147
322,Gillespie,Texas,30117,53668,65457,25003,10655
323,Thomas,Nebraska,30116,55089,63333,734,323
324,Frederick,Virginia,30112,68424,76530,79453,29172
325,Wheeler,Texas,30097,51766,63000,5526,2319
326,Kane,Illinois,30082,69530,80085,518380,170358
327,Hood,Texas,30046,55754,64873,51756,20758
328,Greene,Ohio,30040,58080,73972,162588,62836
329,Saunders,Nebraska,30039,59870,74235,20800,8142
330,Goliad,Texas,30031,50923,63672,7281,3028
331,Rensselaer,New York,29987,59432,74519,159565,64242
332,Sangamon,Illinois,29974,55449,71338,198269,82807
333,San Luis Obispo,California,29954,58697,74885,272094,102154
334,Sargent,North Dakota,29950,53381,67132,3859,1741
335,Linn,Iowa,29943,57260,75761,213425,86052
336,Goodhue,Minnesota,29932,56836,73075,46259,18711
337,Warrick,Indiana,29927,62351,72764,60163,22454
338,Chesapeake City,Virginia,29905,69743,80767,225597,79421
339,Ontario,New York,29904,56479,70381,108311,43794
340,Natrona,Wyoming,29877,57791,69098,77343,31116
341,King,Texas,29836,65000,76250,321,126
342,Hendricks,Indiana,29830,68297,79943,148623,52946
,,Delaware,29819,59878,71811,908446,335707
343,Plumas,California,29806,45794,55183,19586,8997
344,Lander,Nevada,29800,72742,75857,5844,2010
345,Archuleta,Colorado,29793,48933,58222,12109,4881
346,Washington County,Vermont,29761,57281,70640,59427,24661
347,Thurston,Washington,29744,62229,74207,256080,100801
,,North Dakota,29732,53741,70767,689781,287270
348,Emmet,Michigan,29718,50929,61644,32858,13545
349,Hamilton,Ohio,29681,48593,65392,802481,327914
350,New Hanover,North Carolina,29679,49835,67938,206403,86010
351,Jo Daviess,Illinois,29675,50817,63490,22602,9616
,,Illinois,29666,56797,70344,12848554,4772723
352,Cass,Nebraska,29638,64697,75769,25222,9701
353,Wright,Minnesota,29623,71598,81683,126142,44983
354,Cherokee,Georgia,29615,67261,78328,218277,76144
355,Jefferson,West Virginia,29605,65304,77447,54131,19889
356,Montour,Pennsylvania,29600,51482,62248,18379,7233
357,Johnson,Iowa,29592,53424,79964,134034,54005
358,Cameron,Louisiana,29559,64574,71310,6789,2529
359,Hemphill,Texas,29544,56379,66513,3959,1440
360,Midland,Michigan,29536,53076,65735,83842,33717
361,Matanuska-Susitna,Alaska,29534,71037,81821,91519,31123
,,California,29527,61094,69661,37659181,12542460
362,Cecil,Maryland,29518,66689,79128,101435,36394
363,Maui,Hawaii,29517,63512,75407,156633,52623
364,Ramsey,Minnesota,29484,54247,71206,515732,205395
365,Hampshire,Massachusetts,29460,61227,81385,159267,58828
366,Southeast Fairbanks Census Area,Alaska,29437,56801,66369,7047,2326
367,Clay,Missouri,29406,60936,73380,225116,86934
368,Morton,North Dakota,29389,60065,69894,27874,11416
369,Strafford,New Hampshire,29369,58825,73260,123836,46968
370,Durham,North Carolina,29347,51853,66448,276494,111276
371,Calaveras,California,29329,55295,68401,45147,18702
372,Washington County,Nebraska,29328,65409,83670,20234,7647
,,Hawaii,29305,67402,79963,1376298,449771
373,Wells,North Dakota,29301,44132,57125,4220,1949
374,Berkshire,Massachusetts,29294,48450,65216,130545,55301
375,Woodford,Kentucky,29277,57580,71995,24988,9698
376,Northampton,Pennsylvania,29266,60097,73386,298439,112189
377,Pinellas,Florida,29262,45535,59491,920015,401708
378,Franklin,Massachusetts,29259,53663,67785,71408,30534
379,Fayette,Kentucky,29251,48398,67973,300843,123142
380,Boone,Kentucky,29235,67225,78101,121214,43255
381,Dauphin,Pennsylvania,29234,54066,68368,269035,108831
382,Sheridan,North Dakota,29219,43250,48403,1313,614
383,Bennington,Vermont,29196,50221,61270,36871,15442
384,Posey,Indiana,29187,58750,73319,25713,10050
385,Douglas,Nebraska,29180,53325,69754,524697,204226
,,Vermont,29167,54267,68111,625904,257004
386,Suffolk City,Virginia,29135,66085,78565,84842,30492
387,Lake,Ohio,29132,56018,69939,229850,94048
388,Pope,Minnesota,29128,52350,64740,10957,4758
389,Kossuth,Iowa,29127,51812,64283,15437,6728
390,York,Maine,29125,57348,70642,198220,81293
391,Randall,Texas,29124,58529,73144,123062,48080
392,Dodge,Minnesota,29107,69301,81702,20159,7326
393,Warren,Iowa,29088,62535,74558,46631,17378
394,Brazoria,Texas,29081,67603,79880,319493,107717
395,Walsh,North Dakota,29072,48592,61156,11102,4948
396,Clay,Iowa,29060,49035,64651,16604,7148
397,Lipscomb,Texas,29017,57978,64934,3379,1115
398,Scott,Iowa,28948,52735,70480,167080,67049
399,Gallatin,Montana,28939,52833,69556,91499,36973
400,Solano,California,28929,67177,76932,417258,141464
401,Nassau,Florida,28926,55315,63888,74163,28044
402,Moore,North Carolina,28913,49544,62099,89425,36997
403,Calumet,Wisconsin,28907,65130,75563,49288,18381
404,Kidder,North Dakota,28904,50000,57675,2429,1146
,,Wyoming,28902,57406,70868,570134,222846
405,Lafayette,Louisiana,28901,51462,67061,224719,86504
406,Union,North Carolina,28894,65892,74132,205426,68211
407,Warren,Virginia,28889,61610,72597,37836,14387
408,Stillwater,Montana,28868,57906,69375,9173,3757
409,El Paso,Colorado,28867,57125,70728,634423,237039
410,Windham,Vermont,28867,50234,63509,44216,19417
411,Union,Ohio,28852,65086,79744,52683,18216
412,Bristol,Massachusetts,28837,55298,72018,549870,210037
413,Sagadahoc,Maine,28829,56733,69561,35194,15022
414,DeKalb,Georgia,28810,50856,60182,700308,264496
415,Hoonah-Angoon Census Area,Alaska,28806,49545,60000,2141,930
416,Salem,New Jersey,28772,59718,74469,65825,25003
417,Weston,Wyoming,28764,55461,74531,7153,2975
418,Clermont,Ohio,28761,60365,71914,198417,73728
419,Manassas City,Virginia,28752,71036,75810,39317,12072
420,Onondaga,New York,28746,54242,70143,467202,184855
421,Stevens,Minnesota,28746,54206,71563,9723,3700
422,Monroe,New York,28732,52394,68524,746548,297040
423,Bremer,Iowa,28727,61216,75486,24387,9258
424,Grundy,Illinois,28725,64541,78918,50064,18082
425,Addison,Vermont,28722,57565,69157,36811,14164
426,Bath,Virginia,28704,51365,55112,4686,2101
427,Bedford County,Virginia,28697,57596,69792,69175,27233
428,Seminole,Florida,28675,58175,68680,427184,147529
429,Gloucester,Virginia,28673,60519,72719,36868,13889
430,Washoe,Nevada,28670,53040,64556,425495,163198
431,Porter,Indiana,28669,62794,76004,165168,61502
432,Okaloosa,Florida,28600,54684,64668,185852,73253
433,Benton,Washington,28583,60485,72126,178992,65675
434,Sullivan,New Hampshire,28582,54463,65969,43398,17808
435,Johnson,Indiana,28575,61231,73059,141796,52239
436,Northumberland,Virginia,28568,51342,60747,12334,5691
437,Fallon,Montana,28563,51164,66544,3085,1199
438,Kodiak Island,Alaska,28562,68718,73887,13850,4501
439,Ward,North Dakota,28557,56580,67738,64008,25173
440,Powder River,Montana,28528,46250,56250,1669,720
441,Laramie,Wyoming,28505,55864,71483,93073,36859
,,Pennsylvania,28502,52548,66646,12731381,4958427
442,Dundy,Nebraska,28502,47431,51932,1994,893
443,Wrangell,Alaska,28474,45841,55286,2371,1149
444,Davidson,Tennessee,28467,47335,58535,638395,256745
445,Clinton,Michigan,28449,60466,72958,75802,28534
446,Skamania,Washington,28449,53712,67354,11126,4452
447,Peoria,Illinois,28438,50712,65884,187117,75892
448,Eddy,New Mexico,28438,49165,60891,54284,19866
449,Washington County,Pennsylvania,28433,53693,68300,208047,84098
450,Miami,Kansas,28412,58936,73528,32682,12334
451,Lewis and Clark,Montana,28400,56243,70259,64143,26555
452,Seward,Nebraska,28359,59435,74309,16824,6165
453,Elko,Nevada,28358,70238,75231,50023,17599
454,Custer,South Dakota,28356,50074,61917,8306,3731
455,McHenry,North Dakota,28331,45343,61367,5593,2573
456,Menard,Illinois,28330,58190,73969,12687,5071
457,Douglas,South Dakota,28323,49200,58529,3000,1258
458,Schenectady,New York,28319,56061,73910,154821,58059
459,Washakie,Wyoming,28308,47104,64608,8468,3468
460,Cheyenne,Nebraska,28296,51529,64504,10022,4405
461,Franklin,Ohio,28283,50877,64693,1181824,468295
462,Wabasha,Minnesota,28282,53057,66629,21549,8890
463,Columbia,Wisconsin,28273,57922,70208,56647,22735
464,Tarrant,Texas,28266,56853,67436,1848423,659736
465,Jefferson,Washington,28266,46320,62737,29882,13801
466,Hamilton,New York,28265,51522,60170,4813,1854
467,Chase,Nebraska,28241,45610,51810,3984,1697
468,Pierce,Washington,28223,59204,70077,805434,300623
469,Crook,Wyoming,28212,53237,60909,7110,3010
470,York,Nebraska,28207,49633,63940,13762,5501
471,Broward,Florida,28205,51251,61526,1784889,663458
472,Fayette,Tennessee,28201,56618,65276,38502,14535
473,Franklin,Texas,28189,45523,61723,10611,4304
474,Outagamie,Wisconsin,28186,58318,71464,178013,69572
475,Ascension,Louisiana,28178,69070,77640,109920,38287
476,Kanawha,West Virginia,28174,46085,58481,192311,82756
,,United States,28155,53046,64719,311536594,115610216
477,Graham,Kansas,28146,47500,59000,2604,1192
478,Knox,Tennessee,28136,47694,64310,436983,181100
479,Somervell,Texas,28134,55269,70625,8537,3193
480,York,Pennsylvania,28132,58745,70001,436339,167592
481,Grant,North Dakota,28129,41694,59531,2372,1113
482,Hancock,Indiana,28111,62981,72559,70466,26071
483,O'Brien,Iowa,28086,48185,63912,14249,6098
484,Ramsey,North Dakota,28081,48604,63380,11473,4826
485,Johnson,Wyoming,28072,57004,63343,8595,3679
486,Sherburne,Minnesota,28071,73098,80939,89120,29948
487,Lincoln,Maine,28070,50181,59398,34297,14817
488,Iowa County,Iowa,28068,58008,73465,16323,6745
489,Eureka,Nevada,28056,64632,94648,1804,733
